Brand,Item Name,Item Code,Package Size,MCC,Category
LAXMI,EXTRA LONG BASMATI RICE,4BL0,40 LB,N/A,BASMATI RICE
LAXMI,EXTRA LONG BASMATI RICE,4BL1,4X10 LB,10723246283484,BASMATI RICE
LAXMI,AGED BASMATI RICE,4BA4,4X10 LB,10723246285709,BASMATI RICE
LAXMI,LOW GI BASMATI RICE,4BD4,4X10 LB,1072324284528,BASMATI RICE
LAXMI,BROWN BASMATI RICE,4BB4J,4X10 LB,1072324300105,BASMATI RICE
LAXMI,GOLDEN SELLA BASMATI RICE,4BSPG3,2X20 LB,10723246288632,BASMATI RICE
LAXMI,SELLA XL BASMATI RICE,4BSP4,4X10 LB,10723246285716,BASMATI RICE
LAXMI,SELLA XL BASMATI RICE,4BSP5,2X20 LB,10723246285723,BASMATI RICE
LAXMI,AGED BASMATI RICE,4BA7,10X2 LB,10723246285785,BASMATI RICE
LAXMI,AGED BASMATI RICE,4BA5,10X4 LB,10723246285778,BASMATI RICE
LAXMI,BROWN BASMATI RICE,4BB6,10X2 LB,10723246116263,BASMATI RICE
LAXMI,BROWN BASMATI RICE,4BB5,10X4 LB,10723246115242,BASMATI RICE
LAXMI,LOW GI BASMATI RICE,4BD6,10X4 LB,10723246284702,BASMATI RICE
LAXMI,TAMARIND CHUTNEY,8T5,12X8 OZ,10723246000029,CHUTNEYS & PASTES
LAXMI,TAMARIND DATE CHUTNEY,8TD5,12X8 OZ,10723246285073,CHUTNEYS & PASTES
LAXMI,TAMARIND DATE CHUTNEY,8TD6,12X16 OZ,10723246285080,CHUTNEYS & PASTES
LAXMI,TAMARIND DATE CHUTNEY,8TD4,12X32 OZ,10723246289155,CHUTNEYS & PASTES
LAXMI,TAMARIND CONCENTRATE,1TAL1,12X14 OZ,10723246006168,CHUTNEYS & PASTES
LAXMI,TAMARIND CONCENTRATE,1TAL01,12X32 OZ,20723246287687,CHUTNEYS & PASTES
LAXMI,CORIANDER CHUTNEY,8CR8,12X24 OZ,10723246009435,CHUTNEYS & PASTES
LAXMI,MINT CHUTNEY,8F4,12X24 OZ,20723246287861,CHUTNEYS & PASTES
LAXMI,CORIANDER CHUTNEY,8CR9,12X8 OZ,10723246009244,CHUTNEYS & PASTES
LAXMI,MINT CHUTNEY,8F5,12X8 OZ,10723246009251,CHUTNEYS & PASTES
LAXMI,TANDOORI PASTE,LPST01,12X24 OZ,20723246020123,CHUTNEYS & PASTES
LAXMI,TANDOORI PASTE,LPST1,12X8 OZ,10723246009206,CHUTNEYS & PASTES
LAXMI,PANIPURI CONCENTRATE,8R51,12X8 OZ,20723246287426,CHUTNEYS & PASTES
LAXMI,SWEET BEHL CHUTNEY,8SB5,12X8 OZ,10723246000012,CHUTNEYS & PASTES
LAXMI,BASMATI MAMRA,LCMB5,20X400 GM,10723246121397,CEREALS
LAXMI,BASMATI MAMRA,LCMB3,4X5 LB,10723246121403,CEREALS
LAXMI,MYSORE MAMRA,LCMMY1,10X400 GM,10723246284900,CEREALS
LAXMI,KOHLAPURI MAMRA,LCMK5,20X400 GM,10723246236039,CEREALS
LAXMI,PHOOL MAKHANA,LMFM6,10X200 GM,10723246211388,CEREALS
LAXMI,PHOOL MAKHANA,LMFM5,10X400 GM,10723246288670,CEREALS
LAXMI,THICK POHA,LCP3,10X4 LB,10723246121510,CEREALS
LAXMI,THICK POHA,LCP4,10X2 LB,10723246121264,CEREALS
LAXMI,THICK POHA,LCP5,20X400 GM,10723246121236,CEREALS
LAXMI,THIN POHA,LCP8,10X800 GM,10723246121427,CEREALS
LAXMI,THIN POHA,LCP9,10X4 LB,10723246236087,CEREALS
LAXMI,THIN POHA,LCP7,20X400 GM,20723246121363,CEREALS
LAXMI,SABUDANA,LCSS4,18X2 LB,10723246121318,CEREALS
LAXMI,SABUDANA,LCSS3,10X4 LB,10723246121558,CEREALS
LAXMI,KACHI GHANI MUSTARD OIL,LOM41,12X500 ML,10723246265978,COOKING OIL
LAXMI,KACHI GHANI MUSTARD OIL,LOM3,12X1 LTR,10723246101245,COOKING OIL
LAXMI,KACHI GHANI MUSTARD OIL,LOM61,6X2 LTR,20723246285676,COOKING OIL
LAXMI,KACHI GHANI MUSTARD OIL,LOM2,4X5 LTR,10723246288663,COOKING OIL
LAXMI,COLD PRESSED PEANUT OIL,LOPC3,6X2 LTR,10723246288878,COOKING OIL
LAXMI,COLD PRESSED PEANUT OIL,LOPC2,4X5 LTR,10723246287994,COOKING OIL
LAXMI,COLD PRESSED SESAME OIL,LOSC3,6X2 LTR,10723246288885,COOKING OIL
LAXMI,SESAME OIL,LOG3,4X5 LTR,10723246181626,COOKING OIL
LAXMI,SESAME OIL,LOG5,6X2 LTR,10723246270064,COOKING OIL
LAXMI,PEANUT OIL,LOP5,6X2 LB,10723246292011,COOKING OIL
LAXMI,POOJA DEEPAM OIL,LOL1,12X1 LB,20723246292483,COOKING OIL
LAXMI,SESAME OIL,LOS21,12X500 ML,10723246266036,COOKING OIL
LAXMI,CANOLA OIL,LOC4,6X96 OZ,10723246102136,COOKING OIL
LAXMI,CANOLA OIL,LOC35,32.5 LB,10723246181506,COOKING OIL
LAXMI,CORN OIL,LOC87,6X96 OZ,10723246101177,COOKING OIL
LAXMI,CORN OIL,LOC71,32.5 LB,N/A,COOKING OIL
LAXMI,CASTOR OIL,LOCA61,12X17 OZ,1072324625985,COOKING OIL
LAXMI,VEGETABLE OIL,LOV1,6X96 OZ,10723246270033,COOKING OIL
LAXMI,VEGETABLE OIL,LOV1,32.5 LB,N/A,COOKING OIL
LAXMI,GINGER GARLIC PASTE,LPSG5,12X8 OZ,10723246009152,COOKING PASTES
LAXMI,GINGER GARLIC PASTE,LPSG4,12X24 OZ,10723246090877,COOKING PASTES
LAXMI,GINGER PASTE,LPSG8,12X8 OZ,10723246009060,COOKING PASTES
LAXMI,GINGER PASTE,LPSG7,12X24 OZ,10723246009053,COOKING PASTES
LAXMI,GARLIC PASTE,LPSG1,12X8 OZ,10723246009048,COOKING PASTES
LAXMI,GARLIC PASTE,LPSG0,12X24 OZ,10723246009046,COOKING PASTES
LAXMI,TOOR DAL VSD MADHI,6TP7,20X2 LB,20723246183088,DALS & BEANS
LAXMI,TOOR DAL VSD MADHI,6TP6,10X4 LB,10723246183630,DALS & BEANS
LAXMI,TOOR DAL VSD MADHI,6TP5,5X8 LB,10723246183647,DALS & BEANS
LAXMI,TOOR DAL VSD MADHI,6TP1,55 LB,N/A,DALS & BEANS
LAXMI,MOONG DAL,6M7,20X2 LB,20723246183057,DALS & BEANS
LAXMI,MOONG DAL,6M6,10X4 LB,10723246183067,DALS & BEANS
LAXMI,MOONG DAL,6M5,5X8 LB,10723246183531,DALS & BEANS
LAXMI,MOONG DAL,6M2,55 LB,N/A,DALS & BEANS
LAXMI,MOONG WHOLE SMALL,7M7,20X2 LB,20723246181053,DALS & BEANS
